00000000			//0
4AF67E1A			//1257668122
95ECFC34			//2515336244
3607F28F			//906490511
6C0FE51E			//1812981022
D81FCA3C			//3625962044
BA6D8E9F			//3127742111
7F091765			//2131302245
084028F1			//138422513
108051E2			//276845026
2100A3C4			//553690052
42014788			//1107380104
84028F10			//2214760208
12331847			//305338439
2466308E			//610676878
48CC611C			//1221353756
9198C238			//2442707512
2D5F7E97			//761233047
5ABEFD2E			//1522466094
B57DFA5C			//3044932188
7529EEDF			//1965682399
EA53DDBE			//3931364798
DED5B5A3			//3738547619
C7D9656D			//3352913261
99E0C501			//2581644545
3DEF8429			//1039107113
7BDF0852			//2078214226
01EC0ACB			//32246475
03D81596			//64492950
07B02B2C			//128985900
0F605658			//257971800
1EC0ACB0			//515943600
3D815960			//1031887200
00000001			//1
85726AAC			//2238868140
15AFFE2B			//363855403
2B5FFC56			//727710806
56BFF8AC			//1455421612
AD7FF158			//2910843224
65CB0B83			//1707805571
CB961706			//3415611142
A1F756DF			//2717341407
4EB9D691			//1320801937
9D73AD22			//2641603874
45B28317			//1169326871
8B65062E			//2338653742
2195352F			//563426607
432A6A5E			//1126853214
8654D4BC			//2253706428
1774D24B			//393531979
2EE9A496			//787063958
5DD3492C			//1574127916
BBA69258			//3148255832
82184D83			//2182630787
0EFBC3D9			//251380697
1DF787B2			//502761394
3BEF0F64			//1005522788
77DE1EC8			//2011045576
EFBC3D90			//4022091152
EA43A3F3			//3930301427
DF5270B9			//3746721977
C9700A45			//3379563077
9DAB3D5D			//2645245277
4621A38D			//1176609677
8C43471A			//2353219354
2351B707			//592557831
00000002			//2
B51EE4E9			//3038700777
A661C52B			//2791425323
88E785AF			//2296874415
4DF306B7			//1307772599
9BE60D6E			//2615545198
73F01635			//1945114165
240427C3			//604252099
48084F86			//1208504198
90109F0C			//2417008396
5C453971			//1548040561
B88A72E2			//3096081122
AD38E11D			//2906186013
9695BD93			//2526395795
694F767F			//1766815359
0EC2E857			//247654487
1D85D0AE			//495308974
3B0BA15C			//990617948
761742B8			//1981235896
285280C9			//676495561
50A50192			//1352991122
A14A0324			//2705982244
7EB801A1			//2125988257
3993FE9B			//966000283
7327FD36			//1932000566
2273F5C5			//578024901
44E7EB8A			//1156049802
89CFD714			//2312099604
4FC3A981			//1338222977
9F875302			//2676445954
7B32A15D			//2066915677
32893E13			//847855123
65127C26			//1695710246
00000003			//3
092AB19A			//153792922
12556334			//307585844
24AAC668			//615171688
49558CD0			//1230343376
92AB19A0			//2460686752
4D90CC25			//1301335077
9B21984A			//2602670154
5E7DC979			//1585301881
BCFB92F2			//3170603762
A231BEC9			//2721169097
6C9E1677			//1822299767
0176C5D3			//24561107
02ED8BA6			//49122214
05DB174C			//98244428
0BB62E98			//196488856
176C5D30			//392977712
2ED8BA60			//785955424
5DB174C0			//1571910848
BB62E980			//3143821696
9F006BE5			//2667604965
663B70AF			//1715171503
CC76E15E			//3430343006
C1285BA1			//3240647585
AA8B5027			//2861256743
7D513933			//2102475059
22DD0B4B			//584911691
45BA1696			//1169823382
8B742D2C			//2339646764
3F22F33D			//1059255101
7E45E67A			//2118510202
24C665D9			//616981977
498CCBB2			//1233963954
00000004			//4
209FEB4C			//547351372
413FD698			//1094702744
827FAD30			//2189405488
7ACB2039			//2060132409
6B62064B			//1801586251
4C8FD26F			//1284493935
0EEB6AB7			//250309303
1DD6D56E			//500618606
3BADAADC			//1001237212
775B55B8			//2002474424
64827149			//1686270281
3ED0A86B			//1053861995
7DA150D6			//2107723990
710E6785			//1896769413
57E894E3			//1474860259
259CEF9F			//631041951
4B39DF3E			//1262083902
0C3F8455			//205489237
187F08AA			//410978474
30FE1154			//821956948
61FC22A8			//1643913896
39C40B29			//969149225
73881652			//1938298450
5CDBF27D			//1557918333
2F83AAD3			//797158099
5F0755A6			//1594316198
33DA7125			//869953829
67B4E24A			//1739907658
45358A6D			//1161136749
0036DAB3			//3594931
006DB566			//7189862
00DB6ACC			//14379724
00000005			//5
0D645E73			//224681587
1AC8BCE6			//449363174
359179CC			//898726348
6B22F398			//1797452696
D645E730			//3594905392
D44CE289			//3561808521
D05AD93B			//3495614779
C876C69F			//3363227295
B8AEA167			//3098452327
991E56F7			//2568902391
59FDC217			//1509802519
B3FB842E			//3019605038
8FB81C85			//2411207813
47314D33			//1194413363
8E629A66			//2388826726
448648F5			//1149651189
890C91EA			//2299302378
39DA37FD			//970602493
73B46FFA			//1941204986
0F29F41D			//254407709
1E53E83A			//508815418
3CA7D074			//1017630836
794FA0E8			//2035261672
1A6055F9			//442521081
34C0ABF2			//885042162
698157E4			//1770084324
D302AFC8			//3540168648
CDC673B9			//3452335033
C34DFB9B			//3276667803
AE5D0B5F			//2925333343
847B2AE7			//2222664423
30B769F7			//817326583
00000006			//6
888C3A37			//2290891319
2C9B5363			//748376931
5936A6C6			//1496753862
B26D4D8C			//2993507724
805D7A0D			//2153609741
1C3DD30F			//473813775
387BA61E			//947627550
70F74C3C			//1895255100
E1EE9878			//3790510200
DF600FE5			//3747614693
DA42FEBF			//3661823679
D008DC73			//3490241651
BB9497DB			//3147077595
92AC0EAB			//2460749483
40DAFC4B			//1088093259
81B5F896			//2176186518
1EEED021			//518967329
3DDDA042			//1037934658
7BBB4084			//2075869316
12F95FFD			//318332925
25F2BFFA			//636665850
4BE57FF4			//1273331700
97CAFFE8			//2546663400
4B18DEC5			//1259921093
9631BD8A			//2519842186
47E65A09			//1206278665
8FCCB412			//2412557330
3B1C4719			//991708953
76388E32			//1983417906
07F3FB59			//133430105
0FE7F6B2			//266860210
1FCFED64			//533720420
00000007			//7
B3867AEB			//3011934955
6E6D6EAF			//1852665519
DCDADD5E			//3705331038
C1163395			//3239457685
898CE003			//2307710979
1A7A38DF			//444217567
34F471BE			//888435134
69E8E37C			//1776870268
D3D1C6F8			//3553740536
AF0406C9			//2936276681
6568866B			//1701348971
CAD10CD6			//3402697942
9D029285			//2634191493
41659DE3			//1097178595
82CB3BC6			//2194357190
0CF6F065			//217509989
19EDE0CA			//435019978
33DBC194			//870039956
67B78328			//1740079912
CF6F0650			//3480159824
A63E8579			//2789115257
53DD83CB			//1407026123
A7BB0796			//2814052246
56D68805			//1456900101
ADAD100A			//2913800202
62BA98ED			//1656396013
C57531DA			//3312792026
924ADC8D			//2454379661
2BF631F3			//737554931
57EC63E6			//1475109862
AFD8C7CC			//2950219724
67120871			//1729235057
00000008			//8
63C514C0			//1673860288
C78A2980			//3347720576
B8A78A81			//3097987713
9AE24C83			//2598521987
5F57D087			//1599590535
BEAFA10E			//3199181070
A6F2799D			//2800908701
77782ABB			//2004363963
18838CF7			//411274487
310719EE			//822548974
620E33DC			//1645097948
C41C67B8			//3290195896
B1CC06F1			//2982938353
8D2B4563			//2368423267
43E9C247			//1139393095
87D3848E			//2278786190
393A409D			//960118941
7274813A			//1920237882
0E7C39F5			//243022325
1CF873EA			//486044650
39F0E7D4			//972089300
73E1CFA8			//1944178600
1156D6D1			//290903761
22ADADA2			//581807522
455B5B44			//1163615044
8AB6B688			//2327230088
3F00A491			//1057006737
7E014922			//2114013474
2595C9C5			//630573509
4B2B938A			//1261147018
96572714			//2522294036
564185A9			//1447134633
00000009			//9
359A9986			//899324294
6B35330C			//1798648588
1ECD44EB			//516769003
3D9A89D6			//1033538006
7B3513AC			//2067076012
3ECD062B			//1053623851
7D9A0C56			//2107247702
4396F77F			//1133967231
872DEEFE			//2267934462
56BEBCCF			//1455340751
AD7D799E			//2910681502
A35DD20F			//2740834831
8F1E82F1			//2401141489
669FE4B5			//1721754805
15A2A83D			//362981437
2B45507A			//725962874
568AA0F4			//1451925748
AD1541E8			//2903851496
A28D62A3			//2727174819
8D7DA419			//2373821465
635E2705			//1667114757
0F1F2CDD			//253701341
1E3E59BA			//507402682
3C7CB374			//1014805364
78F966E8			//2029610728
3A55ACA3			//978693283
74AB5946			//1957386566
31B9915F			//834244959
637322BE			//1668489918
0F49244F			//256451663
1E92489E			//512903326
3D24913C			//1025806652
0000000A			//10
84E1D2CE			//2229392078
4270E967			//1114696039
90C43813			//2428778515
B7EDDF69			//3085819753
CB82B314			//3414340372
65C1598A			//1707170186
32E0ACC5			//853585093
88FC19C2			//2298223042
447E0CE1			//1149111521
91CAC9D0			//2445986256
48E564E8			//1222993128
2472B274			//611496564
1239593A			//305748282
091CAC9D			//152874141
741A19AE			//1947867566
3A0D0CD7			//973933783
8C9249CB			//2358397387
B5D4E845			//3050629189
CA763782			//3396745090
653B1BC1			//1698372545
A2295140			//2720616768
5114A8A0			//1360308384
288A5450			//680154192
14452A28			//340077096
0A229514			//170038548
05114A8A			//85019274
0288A545			//42509637
70D01602			//1892685314
38680B01			//946342657
8BBFC8E0			//2344601824
45DFE470			//1172300912
22EFF238			//586150456
0000000B			//11
02966D6A			//43412842
014B36B5			//21706421
706422B4			//1885610676
3832115A			//942805338
1C1908AD			//471402669
7DCB0BB0			//2110458800
3EE585D8			//1055229400
1F72C2EC			//527614700
0FB96176			//263807350
07DCB0BB			//131903675
73ACDFB7			//1940709303
A994F735			//2845112117
C48902F4			//3297313524
6244817A			//1648656762
312240BD			//824328381
884FA7B8			//2286921656
4427D3DC			//1143460828
2213E9EE			//571730414
1109F4F7			//285865207
784381D5			//2017690069
ABE04844			//2883602500
