0			//0
E			//14
B			//11
0			//0
0			//0
6			//6
7			//7
5			//5
0			//0
C			//12
5			//5
3			//3
6			//6
5			//5
6			//6
7			//7
8			//8
0			//0
5			//5
6			//6
9			//9
F			//15
7			//7
D			//13
6			//6
2			//2
0			//0
C			//12
9			//9
2			//2
4			//4
1			//1
F			//15
3			//3
3			//3
0			//0
4			//4
6			//6
5			//5
3			//3
1			//1
C			//12
F			//15
3			//3
0			//0
8			//8
C			//12
8			//8
9			//9
F			//15
2			//2
0			//0
1			//1
0			//0
B			//11
0			//0
B			//11
6			//6
9			//9
6			//6
F			//15
8			//8
0			//0
F			//15
C			//12
9			//9
3			//3
1			//1
C			//12
5			//5
6			//6
0			//0
E			//14
A			//10
9			//9
C			//12
7			//7
C			//12
4			//4
0			//0
0			//0
C			//12
E			//14
9			//9
0			//0
1			//1
9			//9
6			//6
3			//3
0			//0
