5			//5
1			//1
B			//11
5			//5
5			//5
B			//11
4			//4
D			//13
0			//0
E			//14
7			//7
C			//12
1			//1
1			//1
D			//13
D			//13
9			//9
0			//0
B			//11
6			//6
E			//14
E			//14
2			//2
A			//10
C			//12
D			//13
0			//0
4			//4
B			//11
C			//12
3			//3
3			//3
7			//7
B			//11
D			//13
0			//0
1			//1
F			//15
D			//13
1			//1
6			//6
6			//6
C			//12
C			//12
0			//0
9			//9
1			//1
4			//4
8			//8
0			//0
B			//11
0			//0
F			//15
0			//0
0			//0
9			//9
2			//2
E			//14
F			//15
F			//15
B			//11
A			//10
0			//0
A			//10
8			//8
C			//12
9			//9
C			//12
1			//1
A			//10
D			//13
0			//0
A			//10
8			//8
7			//7
5			//5
1			//1
9			//9
C			//12
8			//8
0			//0
E			//14
A			//10
3			//3
5			//5
F			//15
A			//10
A			//10
D			//13
0			//0
