2			//2
B			//11
0			//0
6			//6
9			//9
A			//10
7			//7
4			//4
0			//0
B			//11
0			//0
F			//15
2			//2
0			//0
8			//8
5			//5
A			//10
0			//0
5			//5
4			//4
7			//7
B			//11
7			//7
1			//1
4			//4
A			//10
0			//0
F			//15
F			//15
7			//7
0			//0
1			//1
6			//6
A			//10
3			//3
0			//0
F			//15
C			//12
5			//5
E			//14
A			//10
2			//2
2			//2
9			//9
0			//0
4			//4
3			//3
B			//11
1			//1
3			//3
9			//9
0			//0
9			//9
0			//0
A			//10
7			//7
5			//5
1			//1
C			//12
E			//14
F			//15
4			//4
0			//0
E			//14
1			//1
1			//1
C			//12
6			//6
D			//13
F			//15
5			//5
0			//0
E			//14
7			//7
2			//2
0			//0
6			//6
0			//0
2			//2
B			//11
0			//0
D			//13
E			//14
6			//6
0			//0
3			//3
7			//7
C			//12
6			//6
0			//0
