C			//12
F			//15
D			//13
D			//13
7			//7
4			//4
2			//2
6			//6
0			//0
B			//11
2			//2
8			//8
3			//3
0			//0
0			//0
B			//11
6			//6
0			//0
4			//4
4			//4
0			//0
4			//4
9			//9
B			//11
4			//4
5			//5
0			//0
1			//1
5			//5
4			//4
2			//2
5			//5
F			//15
A			//10
A			//10
0			//0
5			//5
5			//5
A			//10
A			//10
6			//6
5			//5
C			//12
2			//2
0			//0
8			//8
7			//7
7			//7
A			//10
1			//1
1			//1
E			//14
D			//13
0			//0
E			//14
E			//14
A			//10
3			//3
C			//12
F			//15
6			//6
A			//10
0			//0
3			//3
0			//0
7			//7
3			//3
3			//3
7			//7
6			//6
0			//0
0			//0
B			//11
6			//6
B			//11
2			//2
1			//1
5			//5
B			//11
C			//12
0			//0
3			//3
B			//11
8			//8
7			//7
0			//0
6			//6
D			//13
2			//2
0			//0
